BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,cell_count,mean_udi,mean_sun,mean_radiation
0,0.5,0.0,0.2,0.8,100,17.8589,1196.66,261.27723000000003
0,0.5,0.0,0.2,0.2,100,44.4567,443.65,142.96364
90,0.0,0.2,0.2,0.2,100,61.93195,504.72,112.33435
0,0.2,0.0,0.2,0.2,100,66.1804,342.915,99.79471
0,0.0,0.8,0.8,0.5,100,4.72095,1856.345,378.85728
0,0.0,0.8,0.8,0.2,100,8.48495,1508.775,324.54046999999997
0,0.0,0.8,0.5,0.8,100,3.3,2109.035,389.99277
0,0.0,0.8,0.5,0.5,100,7.48255,1703.595,333.0703
0,0.0,0.8,0.5,0.2,100,14.203299999999999,1356.025,277.89753
0,0.0,0.8,0.2,0.8,100,4.69315,2003.005,348.44602
0,0.0,0.8,0.2,0.5,100,10.866900000000001,1597.565,290.70882
0,0.0,0.8,0.2,0.2,100,22.032899999999998,1249.995,234.86736000000002
0,0.0,0.5,0.8,0.8,100,4.9121999999999995,1829.07,377.02455000000003
0,0.0,0.5,0.8,0.5,100,8.763150000000001,1423.63,319.53919
0,0.0,0.5,0.8,0.2,100,15.243599999999999,1076.06,263.74485
0,0.0,0.5,0.5,0.8,100,7.740450000000001,1676.32,331.2646
0,0.0,0.5,0.5,0.5,100,13.9826,1270.88,272.73368
0,0.0,0.5,0.5,0.2,100,24.601300000000002,923.31,216.62425
0,0.0,0.5,0.2,0.8,100,11.19635,1570.29,288.9146
0,0.0,0.5,0.2,0.5,100,20.825300000000002,1164.85,230.24937999999997
0,0.0,0.5,0.2,0.2,100,37.55055,817.28,172.98821
0,0.0,0.2,0.8,0.8,100,9.142949999999999,1516.51,320.48974
0,0.0,0.2,0.8,0.5,100,15.586400000000001,1111.07,261.55786
0,0.0,0.2,0.8,0.2,100,26.9893,763.5,204.24080999999998
0,0.0,0.2,0.5,0.8,100,14.8357,1363.76,274.14216
0,0.0,0.2,0.5,0.5,100,25.04855,958.32,214.29084999999998
0,0.0,0.2,0.5,0.2,100,41.999700000000004,610.75,156.75397999999998
0,0.0,0.8,0.8,0.8,100,2.2454,2261.785,435.46262
0,0.2,0.0,0.2,0.5,100,44.24525,690.485,158.4186
0,0.2,0.8,0.8,0.0,100,9.94345,1358.8,314.15522
0,0.2,0.0,0.2,0.8,100,28.835,1095.925,219.20048
0,0.2,0.8,0.5,0.0,100,16.78475,1206.05,267.6922
0,0.2,0.8,0.2,0.0,100,27.51875,1100.02,224.81444
0,0.2,0.8,0.0,0.8,100,4.69845,1993.035,347.77756999999997
0,0.2,0.8,0.0,0.5,100,10.7249,1587.595,289.91516
0,0.2,0.8,0.0,0.2,100,21.78405,1240.025,234.10665
0,0.2,0.5,0.8,0.0,100,17.08645,926.085,252.47992
0,0.2,0.5,0.5,0.0,100,28.131050000000002,773.335,205.54715
0,0.2,0.5,0.2,0.0,100,43.251099999999994,667.305,162.32546
0,0.2,0.5,0.0,0.8,100,11.129249999999999,1560.32,288.43579
0,0.2,0.5,0.0,0.5,100,20.573600000000003,1154.88,229.50303
0,0.2,0.5,0.0,0.2,100,37.3711,807.31,172.41494999999998
0,0.2,0.2,0.8,0.0,100,28.4513,613.525,192.77675
0,0.2,0.2,0.5,0.0,100,44.16535,460.775,145.68749
0,0.2,0.2,0.2,0.0,100,65.31604999999999,354.745,101.14300999999999
0,0.2,0.2,0.0,0.8,100,22.781149999999997,1247.76,230.13711999999998
0,0.2,0.2,0.0,0.5,100,38.070100000000004,842.32,170.07480999999999
0,0.2,0.2,0.0,0.2,100,62.234449999999995,494.75,111.54199
0,0.2,0.0,0.8,0.8,100,10.906749999999999,1354.705,308.55203
0,0.2,0.0,0.8,0.5,100,18.1476,949.265,248.89986000000002
0,0.2,0.0,0.8,0.2,100,28.47565,601.695,191.33131
0,0.2,0.0,0.5,0.8,100,18.05565,1201.955,262.04481
0,0.2,0.0,0.5,0.5,100,28.93095,796.515,202.01291
0,0.2,0.0,0.5,0.2,100,44.43645000000001,448.945,144.10348
0,0.8,0.8,0.8,0.0,100,3.0385500000000003,1593.905,397.59455
90,0.0,0.2,0.2,0.5,100,38.4155,852.29,170.94295999999997
90,0.8,0.8,0.8,0.0,100,3.02825,1593.905,397.49545
90,0.8,0.0,0.2,0.2,100,28.557100000000002,578.02,189.13146
90,0.5,0.8,0.5,0.0,100,10.2089,1306.785,309.00875
90,0.5,0.8,0.2,0.0,100,16.75635,1200.755,266.69471
90,0.5,0.8,0.0,0.8,100,3.33815,2093.77,388.26536999999996
90,0.5,0.8,0.0,0.5,100,7.511699999999999,1688.33,331.23766
90,0.5,0.8,0.0,0.2,100,14.0442,1340.76,276.46963
90,0.5,0.5,0.8,0.0,100,10.0227,1026.82,293.27803
