TILE_ID,BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,UDI,SUN_HOURS,RADIATION
TILE_075,0,0,0.2,0.5,0.2,8.3,1013,269.616
TILE_076,0,0,0.2,0.5,0.2,11.42,1059,261.063
TILE_077,0,0,0.2,0.5,0.2,15.07,920,238.375
TILE_078,0,0,0.2,0.5,0.2,24.74,794,190.497
TILE_079,0,0,0.2,0.5,0.2,50.77,756,123.666
TILE_080,0,0,0.2,0.5,0.2,64.19,783,112.123
TILE_081,0,0,0.2,0.5,0.2,31.89,856,172.634
TILE_082,0,0,0.2,0.5,0.2,17.62,1062,233.859
TILE_083,0,0,0.2,0.5,0.2,13.86,1329,267.238
TILE_084,0,0,0.2,0.5,0.2,12.14,1280,282.032
TILE_085,0,0,0.2,0.5,0.2,11.95,1438,280.099
TILE_086,0,0,0.2,0.5,0.2,14.33,1337,265.503
TILE_087,0,0,0.2,0.5,0.2,17.15,1041,228.744
TILE_088,0,0,0.2,0.5,0.2,31.75,868,167.631
TILE_089,0,0,0.2,0.5,0.2,68.55,718,106.635
TILE_090,0,0,0.2,0.5,0.2,94.84,305.5,47.954
TILE_091,0,0,0.2,0.5,0.2,81.89,459,87.449
TILE_092,0,0,0.2,0.5,0.2,50.9,702,127.15
TILE_093,0,0,0.2,0.5,0.2,40.44,813,140.79
TILE_094,0,0,0.2,0.5,0.2,39.21,757,149.967
TILE_095,0,0,0.2,0.5,0.2,39.18,827,149.339
TILE_096,0,0,0.2,0.5,0.2,41.64,786,140.737
TILE_097,0,0,0.2,0.5,0.2,49.7,654,124.486
TILE_098,0,0,0.2,0.5,0.2,83.73,472,84.576
TILE_099,0,0,0.2,0.5,0.2,94.73,305.5,45.432
TILE_000,0,0,0.5,0.5,0.2,83.915,306.5,73.617
TILE_001,0,0,0.5,0.5,0.2,71.45,316,91.031
TILE_002,0,0,0.5,0.5,0.2,54.71,381,110.834
TILE_003,0,0,0.5,0.5,0.2,44.03,361,125.338
TILE_004,0,0,0.5,0.5,0.2,38.22,443,138.159
TILE_005,0,0,0.5,0.5,0.2,34.08,526,144.148
